"fatalities","injured","evacuated","city","province","region","country","canada","disastertype","disastersubgroup","disastergroup","disastercategory","magnitude","utilitypeopleaffected","start_day","start_week","start_month","start_year","start_weekend","start_seasoncanada","start_seasoninternational","end_day","end_week","end_month","end_year","end_weekend","end_seasoncanada","end_seasoninternational","estimatedtotalcost","normalizedtotalcost","federaldfaapayments","provincialdfaapayments","provincialdepartmentpayments","municipalcosts","ogdcosts","insurancepayments","ngopayments","keyword1","keyword2","keyword3"
1,0,0,"Moose River","Nova Scotia","Atlantic Canada","Canada",TRUE,"Manufacturing / Industry","Infrastructure failure","Technology","Incident",0,0,12,15,4,1936,TRUE,"spring","fall",23,17,4,1936,FALSE,"spring","fall",?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,"Northern Saskatchewan","Canada",TRUE,"Wildfire","Meteorological - Hydrological","Natural","Disaster",0,0,13,29,7,1936,FALSE,"summer","winter",19,29,7,1936,TRUE,"summer","winter",?,?,?,?,?,?,?,?,?,?,?,?
52,0,0,"Northeast of Vancouver","British Columbia","West Coast","Canada",TRUE,"Air","Transportation accident","Technology","Incident",0,0,8,27,7,1965,FALSE,"summer","winter",8,27,7,1965,FALSE,"summer","winter",?,?,?,?,?,?,?,?,?,"crash",?,?
28,0,0,"Lake Huron","Ontario","Central Canada","Canada",TRUE,"Marine","Transportation accident","Technology","Incident",0,0,1,52,1,1966,TRUE,"winter","summer",1,52,1,1966,TRUE,"winter","summer",?,?,?,?,?,?,?,?,?,"car",?,?
270,0,0,?,?,"Lakes Huron, Erie and Ontario","Canada",TRUE,"Storms and Severe Thunderstorms","Meteorological - Hydrological","Natural","Disaster",0,0,7,45,11,1913,FALSE,"fall","spring",13,46,11,1913,FALSE,"fall","spring",?,?,?,?,?,?,?,?,?,"storm","wind",?
173,0,0,?,?,"Newfoundland coast","Canada",TRUE,"Storms and Severe Thunderstorms","Meteorological - Hydrological","Natural","Disaster",0,0,1,1,1,1914,FALSE,"winter","summer",1,1,1,1914,FALSE,"winter","summer",?,?,?,?,?,?,?,?,?,"storm",?,?
0,0,0,?,?,"Prairie Provinces","Canada",TRUE,"Drought","Meteorological - Hydrological","Natural","Disaster",0,0,1,1,1,1914,FALSE,"winter","summer",1,1,1,1914,FALSE,"winter","summer",0,0,?,?,?,?,?,?,?,"drought",?,?
0,0,50,"Lake St. Clair","Ontario","Central Canada","Canada",TRUE,"Flood","Meteorological - Hydrological","Natural","Disaster",0,0,4,14,4,1987,TRUE,"spring","fall",4,14,4,1987,TRUE,"spring","fall",?,?,0,0,?,?,?,?,?,"flood","storm","wind"
0,0,500,"Canning","Nova Scotia","Atlantic Canada","Canada",TRUE,"Fire","Hazardous Chemicals","Technology","Incident",0,0,30,22,5,1986,FALSE,"spring","fall",30,22,5,1986,FALSE,"spring","fall",?,?,0,0,?,?,?,?,?,"fire","evacuate",?
11,0,0,"Lasalle","Quebec","Central Canada","Canada",TRUE,"Non-Residential","Fire","Technology","Incident",0,0,1,52,1,1966,TRUE,"winter","summer",1,52,1,1966,TRUE,"winter","summer",?,?,?,?,?,?,?,?,?,"fire","killed",?
